type,conv_type,groups,c_in,h_in,w_in,k1,k2,c_out,h_out,w_out,MACs,Flash,latency,MACs/latency
eltwise,,,640,10,10,,,640,14,14,0,0,0.183,
conv2d,,,32,32,32,,,32,34,34,0,0,0.064,
eltwise,DepthWise,24,24,98,98,3,3,24,48,48,497688,312,5.594,88968
pad,DepthWise,256,256,16,16,3,3,256,7,7,113152,3328,1.428,79238
conv2d,,,448,5,5,,,448,7,7,0,0,0.027,
eltwise,DepthWise,1024,1024,7,7,3,3,1024,5,5,231424,13312,3.559,65025
conv2d,,,,,,,,448,5,5,11200,0,0.982,11405
conv2d,DepthWise,32,32,82,82,3,3,32,40,40,460832,416,5.141,89638
conv2d,,,72,4,4,,,72,6,6,0,0,0.005,
eltwise,DepthWise,16,16,114,114,3,3,16,112,112,1806352,208,20.246,89220
eltwise,,,,,,,,24,4,4,384,0,0.035,10971
eltwise,DepthWise,224,224,8,8,3,3,224,6,6,72800,2912,0.89,81797
eltwise,,,864,6,6,,,864,8,8,0,0,0.08,
eltwise,DepthWise,88,88,50,50,3,3,88,24,24,456280,1144,5.054,90280
conv2d,,,,,,,,144,6,6,5184,0,0.455,11393
conv2d,DepthWise,56,56,4,4,3,3,56,2,2,2072,728,0.051,40627
conv2d,,,72,48,48,,,72,50,50,0,0,0.345,
conv2d,DepthWise,416,416,17,17,3,3,416,8,8,240032,5408,3.059,78467
eltwise,DepthWise,352,352,12,12,3,3,352,10,10,317152,4576,3.813,83176
eltwise,,,,,,,,24,48,48,55296,0,4.837,11431
eltwise,DepthWise,80,80,14,14,3,3,80,12,12,103760,1040,1.143,90778
eltwise,,,48,7,7,,,48,9,9,0,0,0.006,
conv2d,DepthWise,64,64,15,15,3,3,64,13,13,97408,832,1.072,90865
pad,DepthWise,320,320,30,30,3,3,320,28,28,2258240,4160,25.284,89314
conv2d,,,,,,,,48,7,7,2352,0,0.207,11362
eltwise,DepthWise,64,64,12,12,3,3,64,10,10,57664,832,0.644,89540
conv2d,,,576,16,16,,,576,20,20,0,0,0.375,
eltwise,DepthWise,448,448,6,6,3,3,448,4,4,64960,5824,0.978,66421
pad,DepthWise,432,432,12,12,3,3,432,10,10,389232,5616,4.741,82099
conv2d,DepthWise,120,120,26,26,3,3,120,24,24,622200,1560,6.704,92810
eltwise,DepthWise,128,128,9,9,3,3,128,4,4,18560,1664,0.262,70839
conv2d,DepthWise,64,64,7,7,3,3,64,3,3,5248,832,0.088,59636
conv2d,,,320,8,8,,,320,10,10,0,0,0.05,
conv2d,DepthWise,192,192,30,30,3,3,192,14,14,338880,2496,3.854,87929
eltwise,DepthWise,88,88,50,50,3,3,88,48,48,1824856,1144,19.606,93076
eltwise,DepthWise,16,16,8,8,3,3,16,6,6,5200,208,0.07,74285
eltwise,,,,,,,,320,8,8,20480,0,1.801,11371
eltwise,DepthWise,24,24,58,58,3,3,24,56,56,677400,312,7.458,90828
eltwise,,,1024,9,9,,,1024,15,15,0,0,0.304,
conv2d,DepthWise,24,24,58,58,3,3,24,56,56,677400,312,7.461,90792
conv2d,,,64,24,24,,,64,26,26,0,0,0.073,
conv2d,DepthWise,24,24,58,58,3,3,24,56,56,677400,312,7.436,91097
conv2d,DepthWise,24,24,58,58,3,3,24,56,56,677400,312,7.465,90743
eltwise,,,48,32,32,,,48,34,34,0,0,0.098,
eltwise,DepthWise,96,96,14,14,3,3,96,12,12,124512,1248,1.367,91084
eltwise,,,64,52,52,,,64,54,54,0,0,0.395,
eltwise,DepthWise,192,192,22,22,3,3,192,20,20,691392,2496,7.691,89896
conv2d,,,960,10,10,,,960,16,16,0,0,0.329,
pad,DepthWise,24,24,66,66,3,3,24,32,32,221208,312,2.486,88981
conv2d,DepthWise,672,672,9,9,3,3,672,4,4,97440,8736,1.534,63520
conv2d,,,168,24,24,,,168,26,26,0,0,0.214,
pad,DepthWise,144,144,12,12,3,3,144,10,10,129744,1872,1.446,89726
conv2d,DepthWise,8,8,42,42,3,3,8,40,40,115208,104,1.388,83002
conv2d,,,,,,,,56,24,24,32256,0,2.823,11426
conv2d,,,288,2,2,,,288,4,4,0,0,0.005,
eltwise,DepthWise,112,112,12,12,3,3,112,10,10,100912,1456,1.121,90019
conv2d,DepthWise,336,336,7,7,3,3,336,5,5,75936,4368,1,75936
pad,,,,,,,,288,2,2,1152,0,0.103,11184
conv2d,DepthWise,104,104,4,4,3,3,104,2,2,3848,1352,0.093,41376
conv2d,DepthWise,104,104,4,4,3,3,104,2,2,3848,1352,0.092,41826
conv2d,,,480,14,14,,,480,16,16,0,0,0.209,
conv2d,DepthWise,104,104,4,4,3,3,104,2,2,3848,1352,0.091,42285
pad,DepthWise,104,104,4,4,3,3,104,2,2,3848,1352,0.092,41826
conv2d,DepthWise,16,16,130,130,3,3,16,64,64,589840,208,6.799,86753
conv2d,,,144,10,10,,,144,12,12,0,0,0.028,
conv2d,DepthWise,32,32,6,6,3,3,32,4,4,4640,416,0.069,67246
eltwise,DepthWise,32,32,6,6,3,3,32,4,4,4640,416,0.068,68235
conv2d,DepthWise,32,32,6,6,3,3,32,4,4,4640,416,0.068,68235
conv2d,,,192,5,5,,,192,7,7,0,0,0.011,
pad,DepthWise,32,32,6,6,3,3,32,4,4,4640,416,0.068,68235
conv2d,DepthWise,192,192,6,6,3,3,192,4,4,27840,2496,0.388,71752
conv2d,,,,,,,,192,5,5,4800,0,0.422,11374
eltwise,,,160,5,5,,,160,7,7,0,0,0.009,
conv2d,DepthWise,64,64,30,30,3,3,64,14,14,112960,832,1.27,88944
pad,DepthWise,112,112,24,24,3,3,112,11,11,122080,1456,1.388,87953
conv2d,,,,,,,,160,5,5,4000,0,0.351,11396
conv2d,DepthWise,384,384,5,5,3,3,384,3,3,31488,4992,0.529,59523
eltwise,DepthWise,128,128,34,34,3,3,128,16,16,295040,1664,3.324,88760
pad,,,112,16,16,,,112,18,18,0,0,0.064,
conv2d,DepthWise,120,120,6,6,3,3,120,4,4,17400,1560,0.24,72500
conv2d,DepthWise,88,88,8,8,3,3,88,6,6,28600,1144,0.348,82183
pad,DepthWise,480,480,16,16,3,3,480,7,7,212160,6240,2.775,76454
conv2d,,,,,,,,112,16,16,28672,0,2.513,11409
conv2d,,,576,10,10,,,576,12,12,0,0,0.133,
pad,DepthWise,240,240,9,9,3,3,240,7,7,106080,3120,1.271,83461
conv2d,,,48,56,56,,,48,60,60,0,0,0.391,
conv2d,DepthWise,96,96,4,4,3,3,96,2,2,3552,1248,0.084,42285
conv2d,,,192,10,10,,,192,12,12,0,0,0.038,
pad,DepthWise,120,120,10,10,3,3,120,8,8,69240,1560,0.792,87424
conv2d,DepthWise,120,120,26,26,3,3,120,24,24,622200,1560,6.685,93074
conv2d,,,96,3,3,,,96,5,5,0,0,0.004,
eltwise,DepthWise,352,352,15,15,3,3,352,13,13,535744,4576,6.203,86368
conv2d,,,,,,,,96,3,3,864,0,0.078,11076
pad,,,64,40,40,,,64,44,44,0,0,0.22,
conv2d,DepthWise,112,112,16,16,3,3,112,7,7,49504,1456,0.594,83340
pad,,,256,10,10,,,256,14,14,0,0,0.066,
conv2d,DepthWise,64,64,50,50,3,3,64,24,24,331840,832,3.662,90617
conv2d,DepthWise,32,32,16,16,3,3,32,14,14,56480,416,0.633,89225
pad,,,80,32,32,,,80,34,34,0,0,0.172,
conv2d,DepthWise,768,768,10,10,3,3,768,4,4,111360,9984,1.773,62808
pad,DepthWise,8,8,42,42,3,3,8,40,40,115208,104,1.398,82409
conv2d,DepthWise,672,672,12,12,3,3,672,5,5,151872,8736,2.218,68472
conv2d,,,,,,,,88,8,8,11264,176,0.172,65488
conv2d,DepthWise,88,88,42,42,3,3,88,40,40,1267288,1144,13.555,93492
eltwise,,,,,,,,88,8,8,5632,0,0.492,11447
pad,,,88,8,8,,,88,10,10,0,0,0.015,
conv2d,DepthWise,48,48,66,66,3,3,48,32,32,442416,624,4.888,90510
conv2d,,,,,,,,88,8,8,5632,0,0.493,11423
eltwise,DepthWise,8,8,66,66,3,3,8,64,64,294920,104,3.553,83005
pad,,,,,,,,88,8,8,5632,0,0.494,11400
conv2d,,,,,,,,88,8,8,5632,0,0.491,11470
conv2d,,,,,,,,88,8,8,5632,0,0.492,11447
conv2d,,,,,,,,88,8,8,5632,0,0.112,50285
pad,,,,,,,,88,8,8,5632,0,0.099,56888
conv2d,DepthWise,64,64,22,22,3,3,64,10,10,57664,832,0.662,87105
conv2d,DepthWise,96,96,9,9,3,3,96,4,4,13920,1248,0.195,71384
conv2d,DepthWise,112,112,50,50,3,3,112,24,24,580720,1456,6.428,90342
conv2d,,,,,,,,88,8,8,5632,0,0.494,11400
pad,,,,,,,,88,8,8,5632,0,0.492,11447
conv2d,,,,,,,,88,8,8,5632,0,0.492,11447
conv2d,,,,,,,,88,8,8,5632,0,0.493,11423
pad,,,224,4,4,,,224,6,6,0,0,0.009,
conv2d,DepthWise,32,32,90,90,3,3,32,44,44,557600,416,6.21,89790
conv2d,,,208,20,20,,,208,24,24,0,0,0.197,
pad,DepthWise,512,512,4,4,3,3,512,2,2,18944,6656,0.459,41272
conv2d,DepthWise,128,128,42,42,3,3,128,20,20,460928,1664,5.133,89796
pad,DepthWise,64,64,30,30,3,3,64,28,28,451648,832,4.846,93200
conv2d,,,192,24,24,,,192,26,26,0,0,0.228,
pad,DepthWise,288,288,16,16,3,3,288,7,7,127296,3744,1.578,80669
conv2d,DepthWise,512,512,22,22,3,3,512,20,20,1843712,6656,22.715,81167
conv2d,DepthWise,64,64,18,18,3,3,64,8,8,36928,832,0.435,84891
eltwise,,,240,28,28,,,240,30,30,0,0,0.362,
pad,,,,,,,,80,28,28,62720,0,5.492,11420
conv2d,DepthWise,120,120,10,10,3,3,120,8,8,69240,1560,0.795,87094
conv2d,DepthWise,80,80,26,26,3,3,80,12,12,103760,1040,1.18,87932
pad,,,416,6,6,,,416,8,8,0,0,0.037,
conv2d,DepthWise,128,128,10,10,3,3,128,4,4,18560,1664,0.263,70570
conv2d,DepthWise,224,224,6,6,3,3,224,4,4,32480,2912,0.46,70608
eltwise,DepthWise,224,224,6,6,3,3,224,4,4,32480,2912,0.461,70455
conv2d,,,,,,,,416,6,6,14976,0,1.312,11414
conv2d,,,64,15,15,,,64,17,17,0,0,0.031,
pad,DepthWise,224,224,6,6,3,3,224,4,4,32480,2912,0.464,69999
conv2d,DepthWise,224,224,6,6,3,3,224,4,4,32480,2912,0.455,71384
conv2d,DepthWise,8,8,42,42,3,3,8,40,40,115208,104,1.386,83122
conv2d,,,240,26,26,,,240,28,28,0,0,0.319,
eltwise,,,80,14,14,,,80,18,18,0,0,0.035,
conv2d,DepthWise,40,40,42,42,3,3,40,40,40,576040,520,6.235,92388
pad,DepthWise,40,40,42,42,3,3,40,40,40,576040,520,6.225,92536
conv2d,,,320,2,2,,,320,6,6,0,0,0.012,
conv2d,DepthWise,40,40,42,42,3,3,40,40,40,576040,520,6.214,92700
pad,,,112,28,28,,,112,30,30,0,0,0.173,
conv2d,DepthWise,40,40,42,42,3,3,40,40,40,576040,520,6.23,92462
conv2d,DepthWise,960,960,4,4,3,3,960,2,2,35520,12480,0.868,40921
pad,DepthWise,96,96,17,17,3,3,96,8,8,55392,1248,0.649,85349
conv2d,,,,,,,,112,28,28,87808,0,7.676,11439
conv2d,DepthWise,112,112,38,38,3,3,112,18,18,326704,1456,3.652,89458
eltwise,,,48,4,4,,,48,6,6,0,0,0.004,
conv2d,DepthWise,104,104,30,30,3,3,104,28,28,733928,1352,7.858,93398
conv2d,DepthWise,16,16,66,66,3,3,16,64,64,589840,208,6.626,89019
pad,DepthWise,32,32,54,54,3,3,32,26,26,194720,416,2.179,89362
conv2d,,,,,,,,48,4,4,768,0,0.069,11130
conv2d,,,24,80,80,,,24,82,82,0,0,0.3,
pad,DepthWise,160,160,7,7,3,3,160,5,5,36160,2080,0.466,77596
conv2d,DepthWise,160,160,7,7,3,3,160,5,5,36160,2080,0.463,78099
conv2d,DepthWise,160,160,7,7,3,3,160,5,5,36160,2080,0.464,77931
pad,,,384,10,10,,,384,14,14,0,0,0.109,
conv2d,DepthWise,160,160,7,7,3,3,160,5,5,36160,2080,0.461,78438
conv2d,DepthWise,128,128,9,9,3,3,128,7,7,56576,1664,0.665,85076
pad,,,64,8,8,,,64,10,10,0,0,0.009,
conv2d,DepthWise,256,256,10,10,3,3,256,4,4,37120,3328,0.546,67985
conv2d,DepthWise,104,104,42,42,3,3,104,20,20,374504,1352,4.162,89981
pad,DepthWise,640,640,14,14,3,3,640,12,12,830080,8320,10.75,77216
conv2d,DepthWise,120,120,30,30,3,3,120,14,14,211800,1560,2.372,89291
pad,,,960,8,8,,,960,10,10,0,0,0.15,
conv2d,DepthWise,512,512,13,13,3,3,512,6,6,166400,6656,2.307,72128
conv2d,,,,,,,,160,8,8,10240,0,0.898,11403
conv2d,,,32,12,12,,,32,14,14,0,0,0.01,
conv2d,DepthWise,240,240,6,6,3,3,240,4,4,34800,3120,0.494,70445
pad,DepthWise,120,120,4,4,3,3,120,2,2,4440,1560,0.103,43106
conv2d,,,,,,,,32,12,12,4608,0,0.405,11377
pad,,,256,5,5,,,256,7,7,0,0,0.014,
conv2d,DepthWise,32,32,4,4,3,3,32,2,2,1184,416,0.03,39466
conv2d,DepthWise,864,864,8,8,3,3,864,6,6,280800,11232,4.027,69729
pad,,,56,12,12,,,56,14,14,0,0,0.015,
conv2d,DepthWise,48,48,10,10,3,3,48,8,8,27696,624,0.319,86821
conv2d,DepthWise,24,24,66,66,3,3,24,32,32,221208,312,2.495,88660
conv2d,,,240,2,2,,,240,4,4,0,0,0.005,
eltwise,DepthWise,32,32,42,42,3,3,32,20,20,115232,416,1.296,88913
conv2d,,,,,,,,240,2,2,960,0,0.086,11162
eltwise,,,144,14,14,,,144,16,16,0,0,0.063,
pad,DepthWise,512,512,16,16,3,3,512,14,14,903680,6656,11.491,78642
conv2d,DepthWise,128,128,14,14,3,3,128,12,12,166016,1664,1.827,90868
eltwise,DepthWise,48,48,38,38,3,3,48,18,18,140016,624,1.561,89696
conv2d,,,,,,,,144,14,14,28224,0,2.482,11371
conv2d,DepthWise,56,56,7,7,3,3,56,5,5,12656,728,0.166,76240
conv2d,,,240,10,10,,,240,12,12,0,0,0.056,
eltwise,DepthWise,576,576,10,10,3,3,576,8,8,332352,7488,4.371,76035
eltwise,DepthWise,768,768,12,12,3,3,768,10,10,691968,9984,9.269,74654
eltwise,,,,,,,,240,10,10,24000,0,2.111,11369
eltwise,,,48,2,2,,,48,4,4,0,0,0.002,
eltwise,DepthWise,128,128,12,12,3,3,128,10,10,115328,1664,1.294,89125
conv2d,DepthWise,1152,1152,6,6,3,3,1152,4,4,167040,14976,2.706,61729
conv2d,DepthWise,80,80,16,16,3,3,80,7,7,35360,1040,0.424,83396
conv2d,,,,,,,,48,2,2,192,0,0.019,10105
conv2d,DepthWise,768,768,10,10,3,3,768,4,4,111360,9984,1.806,61661
eltwise,,,480,10,10,,,480,14,14,0,0,0.136,
eltwise,DepthWise,16,16,98,98,3,3,16,48,48,331792,208,3.805,87198
eltwise,,,144,14,14,,,144,16,16,0,0,0.058,
eltwise,DepthWise,192,192,12,12,3,3,192,5,5,43392,2496,0.577,75202
pad,DepthWise,96,96,54,54,3,3,96,26,26,584160,1248,6.462,90399
conv2d,DepthWise,48,48,42,42,3,3,48,20,20,172848,624,1.928,89651
pad,,,120,40,40,,,120,42,42,0,0,0.415,
conv2d,,,,,,,,40,40,40,64000,0,5.595,11438
conv2d,,,64,26,26,,,64,30,30,0,0,0.096,
conv2d,DepthWise,352,352,8,8,3,3,352,6,6,114400,4576,1.449,78951
pad,,,32,60,60,,,32,62,62,0,0,0.224,
conv2d,DepthWise,24,24,122,122,3,3,24,60,60,777624,312,8.716,89217
conv2d,DepthWise,24,24,66,66,3,3,24,64,64,884760,312,9.715,91071
pad,,,352,16,16,,,352,22,22,0,0,0.253,
conv2d,DepthWise,768,768,6,6,3,3,768,4,4,111360,9984,1.766,63057
conv2d,,,24,104,104,,,24,106,106,0,0,0.508,
conv2d,DepthWise,288,288,20,20,3,3,288,9,9,210240,3744,2.523,83329
pad,,,256,5,5,,,256,7,7,0,0,0.014,
conv2d,DepthWise,112,112,9,9,3,3,112,4,4,16240,1456,0.229,70917
conv2d,,,48,56,56,,,48,58,58,0,0,0.304,
conv2d,DepthWise,512,512,8,8,3,3,512,6,6,166400,6656,2.315,71879
pad,DepthWise,8,8,114,114,3,3,8,112,112,903176,104,10.843,83295
conv2d,,,384,2,2,,,384,4,4,0,0,0.007,
conv2d,DepthWise,64,64,22,22,3,3,64,20,20,230464,832,2.49,92555
eltwise,DepthWise,480,480,7,7,3,3,480,5,5,108480,6240,1.519,71415
pad,,,,,,,,384,2,2,1536,0,0.136,11294
conv2d,,,512,20,20,,,512,22,22,0,0,0.447,
pad,,,112,10,10,,,112,14,14,0,0,0.026,
conv2d,DepthWise,192,192,16,16,3,3,192,7,7,84864,2496,1.028,82552
conv2d,DepthWise,8,8,12,12,3,3,8,10,10,7208,104,0.094,76680
conv2d,DepthWise,32,32,98,98,3,3,32,48,48,663584,416,7.388,89819
pad,,,64,80,80,,,64,82,82,0,0,0.801,
conv2d,DepthWise,384,384,6,6,3,3,384,4,4,55680,4992,0.804,69253
conv2d,DepthWise,24,24,12,12,3,3,24,10,10,21624,312,0.252,85809
conv2d,,,288,32,32,,,288,36,36,0,0,0.677,
eltwise,DepthWise,48,48,32,32,3,3,48,30,30,388848,624,4.186,92892
eltwise,DepthWise,40,40,4,4,3,3,40,2,2,1480,520,0.038,38947
conv2d,,,256,28,28,,,256,32,32,0,0,0.464,
eltwise,DepthWise,56,56,22,22,3,3,56,20,20,201656,728,2.18,92502
pad,DepthWise,16,16,58,58,3,3,16,56,56,451600,208,5.069,89090
conv2d,,,96,8,8,,,96,12,12,0,0,0.015,
eltwise,DepthWise,64,64,24,24,3,3,64,22,22,278848,832,3.003,92856
conv2d,DepthWise,480,480,4,4,3,3,480,2,2,17760,6240,0.427,41592
conv2d,,,48,56,56,,,48,58,58,0,0,0.302,
conv2d,DepthWise,24,24,66,66,3,3,24,32,32,221208,312,2.486,88981
eltwise,DepthWise,336,336,16,16,3,3,336,14,14,593040,4368,6.826,86879
eltwise,,,96,14,14,,,96,16,16,0,0,0.041,
eltwise,DepthWise,352,352,6,6,3,3,352,4,4,51040,4576,0.742,68787
eltwise,DepthWise,352,352,8,8,3,3,352,6,6,114400,4576,1.466,78035
eltwise,DepthWise,256,256,17,17,3,3,256,8,8,147712,3328,1.816,81339
conv2d,,,,,,,,96,14,14,18816,0,1.654,11376
conv2d,,,64,10,10,,,64,12,12,0,0,0.012,
conv2d,DepthWise,192,192,50,50,3,3,192,24,24,995520,2496,11.276,88286
conv2d,DepthWise,384,384,14,14,3,3,384,6,6,124800,4992,1.65,75636
eltwise,,,120,36,36,,,120,40,40,0,0,0.313,
eltwise,DepthWise,128,128,24,24,3,3,128,22,22,557696,1664,6.01,92794
eltwise,,,336,7,7,,,336,11,11,0,0,0.045,
eltwise,DepthWise,48,48,34,34,3,3,48,16,16,110640,624,1.237,89442
conv2d,,,32,56,56,,,32,58,58,0,0,0.226,
pad,DepthWise,24,24,4,4,3,3,24,2,2,888,312,0.024,36999
conv2d,DepthWise,72,72,50,50,3,3,72,48,48,1493064,936,15.973,93474
conv2d,DepthWise,64,64,10,10,3,3,64,4,4,9280,832,0.132,70303
eltwise,,,,,,,,32,56,56,100352,0,8.828,11367
pad,,,48,52,52,,,48,58,58,0,0,0.27,
conv2d,,,64,14,14,,,64,16,16,0,0,0.03,
conv2d,DepthWise,416,416,13,13,3,3,416,11,11,453440,5408,5.485,82669
conv2d,DepthWise,224,224,22,22,3,3,224,10,10,201824,2912,2.361,85482
conv2d,,,,,,,,64,14,14,12544,0,1.098,11424
pad,,,8,32,32,,,8,34,34,0,0,0.019,
conv2d,DepthWise,256,256,14,14,3,3,256,6,6,83200,3328,1.06,78490
conv2d,,,,,,,,8,32,32,8192,0,0.715,11457
eltwise,DepthWise,64,64,18,18,3,3,64,8,8,36928,832,0.436,84697
pad,,,672,20,20,,,672,24,24,0,0,0.66,
conv2d,DepthWise,160,160,10,10,3,3,160,8,8,92320,2080,1.062,86930
conv2d,DepthWise,704,704,11,11,3,3,704,5,5,159104,9152,2.367,67217
pad,,,128,36,36,,,128,38,38,0,0,0.333,
conv2d,DepthWise,24,24,114,114,3,3,24,56,56,677400,312,7.599,89143
conv2d,,,96,22,22,,,96,28,28,0,0,0.118,
conv2d,DepthWise,32,32,66,66,3,3,32,32,32,294944,416,3.305,89241
eltwise,,,32,92,92,,,32,94,94,0,0,0.517,
pad,DepthWise,960,960,5,5,3,3,960,3,3,78720,12480,1.45,54289
conv2d,,,40,3,3,,,40,5,5,0,0,0.003,
conv2d,DepthWise,80,80,32,32,3,3,80,15,15,162080,1040,1.815,89300
conv2d,,,8,10,10,,,8,12,12,0,0,0.004,
conv2d,DepthWise,416,416,9,9,3,3,416,7,7,183872,5408,2.331,78881
pad,DepthWise,144,144,4,4,3,3,144,2,2,5328,1872,0.124,42967
conv2d,,,,,,,,8,10,10,800,0,0.071,11267
conv2d,,,,,,,,96,20,20,76800,192,1.967,39044
pad,,,,,,,,96,20,20,38400,0,3.377,11371
conv2d,,,96,20,20,,,96,22,22,0,0,0.079,
conv2d,,,,,,,,96,20,20,38400,0,3.361,11425
eltwise,DepthWise,112,112,9,9,3,3,112,4,4,16240,1456,0.229,70917
conv2d,DepthWise,768,768,14,14,3,3,768,6,6,249600,9984,3.582,69681
conv2d,DepthWise,80,80,22,22,3,3,80,10,10,72080,1040,0.826,87263
pad,,,,,,,,96,20,20,38400,0,3.358,11435
conv2d,,,,,,,,96,20,20,38400,0,3.357,11438
conv2d,,,,,,,,96,20,20,38400,0,3.357,11438
eltwise,,,,,,,,96,20,20,38400,0,0.79,48607
pad,,,,,,,,96,20,20,38400,0,0.698,55014
conv2d,DepthWise,672,672,9,9,3,3,672,7,7,297024,8736,4.051,73321
conv2d,DepthWise,8,8,66,66,3,3,8,64,64,294920,104,3.544,83216
conv2d,DepthWise,88,88,32,32,3,3,88,15,15,178288,1144,2.002,89054
pad,,,,,,,,96,20,20,38400,0,3.377,11371
conv2d,,,,,,,,96,20,20,38400,0,3.357,11438
conv2d,,,,,,,,96,20,20,38400,0,3.357,11438
pad,,,,,,,,96,20,20,38400,0,3.358,11435
conv2d,,,104,2,2,,,104,4,4,0,0,0.003,
pad,DepthWise,64,64,16,16,3,3,64,14,14,112960,832,1.233,91613
conv2d,DepthWise,32,32,42,42,3,3,32,40,40,460832,416,5.013,91927
conv2d,,,,,,,,104,2,2,416,0,0.039,10666
pad,,,64,5,5,,,64,7,7,0,0,0.005,
conv2d,DepthWise,384,384,26,26,3,3,384,24,24,1991040,4992,23.183,85883
pad,DepthWise,40,40,58,58,3,3,40,56,56,1129000,520,12.19,92616
conv2d,,,352,12,12,,,352,18,18,0,0,0.159,
conv2d,DepthWise,48,48,18,18,3,3,48,16,16,110640,624,1.213,91211
conv2d,,,128,10,10,,,128,14,14,0,0,0.029,
eltwise,DepthWise,48,48,18,18,3,3,48,16,16,110640,624,1.215,91061
pad,DepthWise,48,48,18,18,3,3,48,16,16,110640,624,1.212,91287
conv2d,,,64,13,13,,,64,15,15,0,0,0.023,
conv2d,DepthWise,48,48,18,18,3,3,48,16,16,110640,624,1.212,91287
conv2d,DepthWise,672,672,7,7,3,3,672,5,5,151872,8736,2.213,68627
conv2d,DepthWise,168,168,30,30,3,3,168,28,28,1185576,2184,12.861,92183
pad,DepthWise,704,704,9,9,3,3,704,4,4,102080,9152,1.641,62205
conv2d,DepthWise,80,80,12,12,3,3,80,5,5,18080,1040,0.235,76936
conv2d,,,1056,2,2,,,1056,4,4,0,0,0.022,
eltwise,DepthWise,56,56,22,22,3,3,56,20,20,201656,728,2.178,92587
pad,DepthWise,384,384,9,9,3,3,384,7,7,169728,4992,2.137,79423
conv2d,,,,,,,,352,2,2,1408,0,0.126,11174
pad,DepthWise,384,384,9,9,3,3,384,7,7,169728,4992,2.136,79460
conv2d,,,120,32,32,,,120,36,36,0,0,0.254,
conv2d,DepthWise,384,384,9,9,3,3,384,7,7,169728,4992,2.145,79127
conv2d,,,64,56,56,,,64,58,58,0,0,0.392,
pad,DepthWise,384,384,9,9,3,3,384,7,7,169728,4992,2.133,79572
conv2d,DepthWise,48,48,30,30,3,3,48,14,14,84720,624,0.953,88898
conv2d,,,288,5,5,,,288,7,7,0,0,0.021,
pad,DepthWise,48,48,42,42,3,3,48,40,40,691248,624,7.434,92984
conv2d,DepthWise,576,576,16,16,3,3,576,7,7,254592,7488,3.435,74117
pad,,,,,,,,96,5,5,2400,0,0.211,11374
conv2d,,,96,9,9,,,96,11,11,0,0,0.014,
conv2d,DepthWise,120,120,16,16,3,3,120,14,14,211800,1560,2.313,91569
conv2d,DepthWise,80,80,26,26,3,3,80,12,12,103760,1040,1.177,88156
pad,,,56,16,16,,,56,18,18,0,0,0.036,
conv2d,DepthWise,480,480,12,12,3,3,480,5,5,108480,6240,1.525,71134
pad,DepthWise,240,240,17,17,3,3,240,8,8,138480,3120,1.694,81747
conv2d,,,,,,,,56,16,16,14336,0,1.257,11404
conv2d,,,192,3,3,,,192,5,5,0,0,0.006,
pad,DepthWise,48,48,46,46,3,3,48,22,22,209136,624,2.326,89912
conv2d,,,,,,,,32,3,3,288,0,0.027,10666
conv2d,,,32,24,24,,,32,26,26,0,0,0.035,
conv2d,DepthWise,72,72,12,12,3,3,72,10,10,64872,936,0.724,89602
pad,DepthWise,24,24,5,5,3,3,24,3,3,1968,312,0.036,54666
conv2d,,,32,36,36,,,32,38,38,0,0,0.082,
conv2d,DepthWise,24,24,5,5,3,3,24,3,3,1968,312,0.036,54666
eltwise,DepthWise,24,24,5,5,3,3,24,3,3,1968,312,0.035,56228
pad,DepthWise,24,24,5,5,3,3,24,3,3,1968,312,0.035,56228
conv2d,,,32,16,16,,,32,18,18,0,0,0.015,
pad,DepthWise,48,48,26,26,3,3,48,12,12,62256,624,0.707,88056
conv2d,DepthWise,80,80,8,8,3,3,80,3,3,6560,1040,0.111,59099
pad,,,176,7,7,,,176,9,9,0,0,0.018,
conv2d,DepthWise,32,32,42,42,3,3,32,20,20,115232,416,1.295,88982
pad,DepthWise,1024,1024,15,15,3,3,1024,13,13,1558528,13312,21.317,73111
conv2d,,,,,,,,176,7,7,8624,0,0.757,11392
conv2d,,,32,60,60,,,32,66,66,0,0,0.252,
conv2d,DepthWise,80,80,11,11,3,3,80,5,5,18080,1040,0.233,77596
eltwise,,,240,2,2,,,240,4,4,0,0,0.005,
pad,DepthWise,176,176,14,14,3,3,176,12,12,228272,2288,2.526,90368
conv2d,DepthWise,1152,1152,8,8,3,3,1152,6,6,374400,14976,5.451,68684
conv2d,DepthWise,112,112,9,9,3,3,112,4,4,16240,1456,0.229,70917
conv2d,,,,,,,,240,2,2,960,0,0.086,11162
conv2d,,,64,16,16,,,64,18,18,0,0,0.035,
conv2d,DepthWise,16,16,7,7,3,3,16,5,5,3616,208,0.052,69538
pad,DepthWise,192,192,38,38,3,3,192,18,18,560064,2496,6.363,88018
conv2d,,,320,4,4,,,320,8,8,0,0,0.018,
conv2d,DepthWise,208,208,14,14,3,3,208,12,12,269776,2704,3.006,89745
conv2d,,,64,24,24,,,64,30,30,0,0,0.088,
pad,DepthWise,24,24,58,58,3,3,24,28,28,169368,312,1.909,88720
conv2d,,,256,22,22,,,256,28,28,0,0,0.323,
conv2d,DepthWise,104,104,10,10,3,3,104,8,8,60008,1352,0.683,87859
pad,DepthWise,128,128,12,12,3,3,128,5,5,28928,1664,0.38,76126
conv2d,,,192,40,40,,,192,44,44,0,0,0.682,
