type,conv_type,groups,c_in,h_in,w_in,k1,k2,c_out,h_out,w_out,MACs,Flash,latency,MACs/latency
conv2d,PointWise,1,160,16,16,1,1,160,16,16,6553760,26240,15.799,414821
pad,,,80,8,8,,,80,10,10,0,0,0.011,
conv2d,PointWise,1,416,10,10,1,1,416,10,10,17306016,174720,37.229,464853
conv2d,PointWise,1,416,10,10,1,1,416,10,10,17306016,174720,37.645,459716
conv2d,PointWise,1,416,10,10,1,1,416,10,10,17306016,174720,37.648,459679
conv2d,PointWise,1,416,10,10,1,1,416,10,10,17306016,174720,37.179,465478
conv2d,PointWise,1,416,10,10,1,1,416,10,10,17306016,174720,44.236,391220
pad,,,48,28,28,,,48,30,30,0,0,0.075,
conv2d,PointWise,1,24,44,44,1,1,112,44,44,5204080,3136,18.591,279924
conv2d,PointWise,1,24,16,16,1,1,112,16,16,688240,3136,2.878,239138
conv2d,PointWise,1,120,3,3,1,1,720,3,3,778320,89280,2.735,284577
conv2d,PointWise,1,720,3,3,1,1,120,3,3,777720,86880,2.178,357079
pad,,,144,5,5,,,144,7,7,0,0,0.008,
conv2d,PointWise,1,96,6,6,1,1,576,6,6,1991232,57600,4.704,423306
conv2d,PointWise,1,576,6,6,1,1,144,6,6,2986128,83520,6.609,451827
conv2d,PointWise,1,80,22,22,1,1,112,22,22,4336752,9408,10.753,403306
eltwise,,,,,,,,144,5,5,3600,0,0.316,11392
conv2d,PointWise,1,32,24,24,1,1,208,24,24,3834064,7488,12.313,311383
pad,,,32,48,48,,,32,52,52,0,0,0.154,
conv2d,PointWise,1,40,4,4,1,1,240,4,4,153840,10560,0.632,243417
pad,,,128,28,28,,,128,34,34,0,0,0.245,
conv2d,PointWise,1,144,16,16,1,1,176,16,16,6488240,26048,15.864,408991
pad,,,160,16,16,,,160,18,18,0,0,0.086,
conv2d,PointWise,1,24,56,56,1,1,48,56,56,3612720,1344,12.838,281408
conv2d,PointWise,1,24,64,64,1,1,24,64,64,2359320,672,8.326,283367
eltwise,,,,,,,,416,10,10,83200,832,1.226,67862
conv2d,PointWise,1,24,20,20,1,1,112,20,20,1075312,3136,4.291,250597
eltwise,,,,,,,,416,10,10,41600,0,3.658,11372
pad,,,416,10,10,,,416,12,12,0,0,0.097,
conv2d,PointWise,1,8,64,64,1,1,24,64,64,786456,288,4.992,157543
eltwise,,,,,,,,416,10,10,41600,0,3.626,11472
conv2d,PointWise,1,24,64,64,1,1,48,64,64,4718640,1344,16.407,287599
conv2d,PointWise,1,56,32,32,1,1,128,32,32,7340160,7680,20.097,365236
conv2d,PointWise,1,56,56,56,1,1,24,56,56,4214808,1440,10.934,385477
eltwise,,,,,,,,416,10,10,41600,0,3.642,11422
eltwise,,,,,,,,416,10,10,41600,0,3.642,11422
eltwise,,,,,,,,416,10,10,41600,0,3.658,11372
eltwise,,,,,,,,416,10,10,41600,0,0.853,48769
eltwise,,,,,,,,416,10,10,41600,0,0.757,54953
conv2d,PointWise,1,112,14,14,1,1,336,14,14,7376208,38976,19.173,384718
conv2d,PointWise,1,336,7,7,1,1,192,7,7,3161280,65280,6.653,475166
conv2d,PointWise,1,256,10,10,1,1,256,10,10,6553856,66560,13.993,468366
conv2d,PointWise,1,64,28,28,1,1,384,28,28,19267968,26112,48.7,395646
eltwise,,,,,,,,416,10,10,41600,0,3.659,11369
eltwise,,,,,,,,416,10,10,41600,0,3.643,11419
eltwise,,,,,,,,416,10,10,41600,0,3.648,11403
eltwise,,,,,,,,416,10,10,41600,0,3.643,11419
conv2d,PointWise,1,384,28,28,1,1,80,28,28,24084560,31040,50.826,473862
conv2d,PointWise,1,104,22,22,1,1,112,22,22,5637744,12096,13.998,402753
pad,,,24,32,32,,,24,34,34,0,0,0.05,
conv2d,PointWise,1,64,3,3,1,1,384,3,3,221568,26112,0.896,247285
conv2d,PointWise,1,384,3,3,1,1,64,3,3,221248,24832,0.641,345160
conv2d,PointWise,1,264,2,2,1,1,512,2,2,541184,137216,3.441,157275
pad,,,720,3,3,,,720,5,5,0,0,0.023,
conv2d,PointWise,1,48,40,40,1,1,48,40,40,3686448,2496,9.83,375020
conv2d,PointWise,1,416,3,3,1,1,416,3,3,1557920,174720,4.428,351833
eltwise,,,,,,,,120,3,3,1080,0,0.097,11134
pad,,,64,32,32,,,64,36,36,0,0,0.142,
conv2d,PointWise,1,416,3,3,1,1,416,3,3,1557920,174720,4.449,350173
pad,,,96,11,11,,,96,13,13,0,0,0.022,
conv2d,PointWise,1,64,14,14,1,1,192,14,14,2408640,13056,6.915,348321
conv2d,PointWise,1,64,6,6,1,1,384,6,6,885120,26112,2.288,386853
conv2d,PointWise,1,384,6,6,1,1,80,6,6,1106000,31040,2.317,477341
